order	precursor	precursor_acc_num	miRNA_5p	miRNA_5p_acc_num	miRNA_3p	miRNA_3p_acc_num	
250_	hsa-mir-193a	MI0000487	hsa-miR-193a-5p	MIMAT0004614	hsa-miR-193a-3p	MIMAT0000459	
251_	hsa-mir-193b	MI0003137	hsa-miR-193b-5p	MIMAT0004767	hsa-miR-193b-3p	MIMAT0002819	
252_	hsa-mir-194-1	MI0000488	hsa-miR-194-5p	MIMAT0000460	na	na	
253_	hsa-mir-194-2	MI0000732	hsa-miR-194-5p	MIMAT0000460	hsa-miR-194-3p	MIMAT0004671	
254_	hsa-mir-195	MI0000489	hsa-miR-195-5p	MIMAT0000461	hsa-miR-195-3p	MIMAT0004615	
255_	hsa-mir-196a-1	MI0000238	hsa-miR-196a-5p	MIMAT0000226	na	na	
256_	hsa-mir-196a-2	MI0000279	hsa-miR-196a-5p	MIMAT0000226	hsa-miR-196a-3p	MIMAT0004562	
257_	hsa-mir-196b	MI0001150	hsa-miR-196b-5p	MIMAT0001080	hsa-miR-196b-3p	MIMAT0009201	
258_	hsa-mir-197	MI0000239	hsa-miR-197-5p	MIMAT0022691	hsa-miR-197-3p	MIMAT0000227	
259_	hsa-mir-1972-1	MI0009982	na	na	hsa-miR-1972-3p	MIMAT0009447	
260_	hsa-mir-1972-2	MI0015977	na	na	hsa-miR-1972-3p	MIMAT0009447	
261_	hsa-mir-1973	MI0009983	na	na	hsa-miR-1973-3p	MIMAT0009448	
262_	hsa-mir-1976	MI0009986	na	na	hsa-miR-1976-3p	MIMAT0009451	
263_	hsa-mir-198	MI0000240	hsa-miR-198-5p	MIMAT0000228	na	na	
264_	hsa-mir-199a-1	MI0000242	hsa-miR-199a-5p	MIMAT0000231	hsa-miR-199a-3p	MIMAT0000232	
265_	hsa-mir-199a-2	MI0000281	hsa-miR-199a-5p	MIMAT0000231	hsa-miR-199a-3p	MIMAT0000232	
266_	hsa-mir-199b	MI0000282	hsa-miR-199b-5p	MIMAT0000263	hsa-miR-199b-3p	MIMAT0004563	
267_	hsa-mir-19a	MI0000073	hsa-miR-19a-5p	MIMAT0004490	hsa-miR-19a-3p	MIMAT0000073	
268_	hsa-mir-19b-1	MI0000074	hsa-miR-19b-1-5p	MIMAT0004491	hsa-miR-19b-3p	MIMAT0000074	
269_	hsa-mir-19b-2	MI0000075	hsa-miR-19b-2-5p	MIMAT0004492	hsa-miR-19b-3p	MIMAT0000074	
270_	hsa-mir-200a	MI0000737	hsa-miR-200a-5p	MIMAT0001620	hsa-miR-200a-3p	MIMAT0000682	
271_	hsa-mir-200b	MI0000342	hsa-miR-200b-5p	MIMAT0004571	hsa-miR-200b-3p	MIMAT0000318	
272_	hsa-mir-200c	MI0000650	hsa-miR-200c-5p	MIMAT0004657	hsa-miR-200c-3p	MIMAT0000617	
273_	hsa-mir-202	MI0003130	hsa-miR-202-5p	MIMAT0002810	hsa-miR-202-3p	MIMAT0002811	
274_	hsa-mir-203a	MI0000283	na	na	hsa-miR-203a-3p	MIMAT0000264	
275_	hsa-mir-203b	MI0017343	hsa-miR-203b-5p	MIMAT0019813	hsa-miR-203b-3p	MIMAT0019814	
276_	hsa-mir-204	MI0000284	hsa-miR-204-5p	MIMAT0000265	hsa-miR-204-3p	MIMAT0022693	
277_	hsa-mir-205	MI0000285	hsa-miR-205-5p	MIMAT0000266	hsa-miR-205-3p	MIMAT0009197	
278_	hsa-mir-2052	MI0010486	hsa-miR-2052-5p	MIMAT0009977	na	na	
279_	hsa-mir-2053	MI0010487	na	na	hsa-miR-2053-3p	MIMAT0009978	
280_	hsa-mir-2054	MI0010488	hsa-miR-2054-5p	MIMAT0009979	na	na	
281_	hsa-mir-206	MI0000490	na	na	hsa-miR-206-3p	MIMAT0000462	
282_	hsa-mir-208a	MI0000251	hsa-miR-208a-5p	MIMAT0026474	hsa-miR-208a-3p	MIMAT0000241	
283_	hsa-mir-208b	MI0005570	hsa-miR-208b-5p	MIMAT0026722	hsa-miR-208b-3p	MIMAT0004960	
284_	hsa-mir-20a	MI0000076	hsa-miR-20a-5p	MIMAT0000075	hsa-miR-20a-3p	MIMAT0004493	
285_	hsa-mir-20b	MI0001519	hsa-miR-20b-5p	MIMAT0001413	hsa-miR-20b-3p	MIMAT0004752	
286_	hsa-mir-21	MI0000077	hsa-miR-21-5p	MIMAT0000076	hsa-miR-21-3p	MIMAT0004494	
287_	hsa-mir-210	MI0000286	hsa-miR-210-5p	MIMAT0026475	hsa-miR-210-3p	MIMAT0000267	
288_	hsa-mir-211	MI0000287	hsa-miR-211-5p	MIMAT0000268	hsa-miR-211-3p	MIMAT0022694	
289_	hsa-mir-2110	MI0010629	hsa-miR-2110-5p	MIMAT0010133	na	na	
290_	hsa-mir-2113	MI0003939	na	na	hsa-miR-2113-3p	MIMAT0009206	
291_	hsa-mir-2114	MI0010633	hsa-miR-2114-5p	MIMAT0011156	hsa-miR-2114-3p	MIMAT0011157	
292_	hsa-mir-2115	MI0010634	hsa-miR-2115-5p	MIMAT0011158	hsa-miR-2115-3p	MIMAT0011159	
293_	hsa-mir-2116	MI0010635	hsa-miR-2116-5p	MIMAT0011160	hsa-miR-2116-3p	MIMAT0011161	
294_	hsa-mir-2117	MI0010636	na	na	hsa-miR-2117-3p	MIMAT0011162	
295_	hsa-mir-212	MI0000288	hsa-miR-212-5p	MIMAT0022695	hsa-miR-212-3p	MIMAT0000269	
296_	hsa-mir-214	MI0000290	hsa-miR-214-5p	MIMAT0004564	hsa-miR-214-3p	MIMAT0000271	
297_	hsa-mir-215	MI0000291	hsa-miR-215-5p	MIMAT0000272	hsa-miR-215-3p	MIMAT0026476	
298_	hsa-mir-216a	MI0000292	hsa-miR-216a-5p	MIMAT0000273	hsa-miR-216a-3p	MIMAT0022844	
299_	hsa-mir-216b	MI0005569	hsa-miR-216b-5p	MIMAT0004959	hsa-miR-216b-3p	MIMAT0026721	
300_	hsa-mir-217	MI0000293	hsa-miR-217-5p	MIMAT0000274	na	na	
301_	hsa-mir-218-1	MI0000294	hsa-miR-218-5p	MIMAT0000275	hsa-miR-218-1-3p	MIMAT0004565	
302_	hsa-mir-218-2	MI0000295	hsa-miR-218-5p	MIMAT0000275	hsa-miR-218-2-3p	MIMAT0004566	
303_	hsa-mir-219a-1	MI0000296	hsa-miR-219a-5p	MIMAT0000276	hsa-miR-219a-1-3p	MIMAT0004567	
304_	hsa-mir-219a-2	MI0000740	hsa-miR-219a-5p	MIMAT0000276	hsa-miR-219a-2-3p	MIMAT0004675	
305_	hsa-mir-219b	MI0017299	hsa-miR-219b-5p	MIMAT0019747	hsa-miR-219b-3p	MIMAT0019748	
306_	hsa-mir-22	MI0000078	hsa-miR-22-5p	MIMAT0004495	hsa-miR-22-3p	MIMAT0000077	
307_	hsa-mir-221	MI0000298	hsa-miR-221-5p	MIMAT0004568	hsa-miR-221-3p	MIMAT0000278	
308_	hsa-mir-222	MI0000299	hsa-miR-222-5p	MIMAT0004569	hsa-miR-222-3p	MIMAT0000279	
309_	hsa-mir-223	MI0000300	hsa-miR-223-5p	MIMAT0004570	hsa-miR-223-3p	MIMAT0000280	
310_	hsa-mir-224	MI0000301	hsa-miR-224-5p	MIMAT0000281	hsa-miR-224-3p	MIMAT0009198	
311_	hsa-mir-2276	MI0011282	hsa-miR-2276-5p	MIMAT0026921	hsa-miR-2276-3p	MIMAT0011775	
312_	hsa-mir-2277	MI0011284	hsa-miR-2277-5p	MIMAT0017352	hsa-miR-2277-3p	MIMAT0011777	
313_	hsa-mir-2278	MI0011285	hsa-miR-2278-5p	MIMAT0011778	na	na	
314_	hsa-mir-2355	MI0015873	hsa-miR-2355-5p	MIMAT0016895	hsa-miR-2355-3p	MIMAT0017950	
315_	hsa-mir-2392	MI0016870	na	na	hsa-miR-2392-3p	MIMAT0019043	
316_	hsa-mir-23a	MI0000079	hsa-miR-23a-5p	MIMAT0004496	hsa-miR-23a-3p	MIMAT0000078	
317_	hsa-mir-23b	MI0000439	hsa-miR-23b-5p	MIMAT0004587	hsa-miR-23b-3p	MIMAT0000418	
318_	hsa-mir-23c	MI0016010	na	na	hsa-miR-23c-3p	MIMAT0018000	
319_	hsa-mir-24-1	MI0000080	hsa-miR-24-1-5p	MIMAT0000079	hsa-miR-24-3p	MIMAT0000080	
320_	hsa-mir-24-2	MI0000081	hsa-miR-24-2-5p	MIMAT0004497	hsa-miR-24-3p	MIMAT0000080	
321_	hsa-mir-2467	MI0017432	hsa-miR-2467-5p	MIMAT0019952	hsa-miR-2467-3p	MIMAT0019953	
322_	hsa-mir-25	MI0000082	hsa-miR-25-5p	MIMAT0004498	hsa-miR-25-3p	MIMAT0000081	
323_	hsa-mir-2681	MI0012062	hsa-miR-2681-5p	MIMAT0013515	hsa-miR-2681-3p	MIMAT0013516	
324_	hsa-mir-2682	MI0012063	hsa-miR-2682-5p	MIMAT0013517	hsa-miR-2682-3p	MIMAT0013518	
325_	hsa-mir-26a-1	MI0000083	hsa-miR-26a-5p	MIMAT0000082	hsa-miR-26a-1-3p	MIMAT0004499	
326_	hsa-mir-26a-2	MI0000750	hsa-miR-26a-5p	MIMAT0000082	hsa-miR-26a-2-3p	MIMAT0004681	
327_	hsa-mir-26b	MI0000084	hsa-miR-26b-5p	MIMAT0000083	hsa-miR-26b-3p	MIMAT0004500	
328_	hsa-mir-27a	MI0000085	hsa-miR-27a-5p	MIMAT0004501	hsa-miR-27a-3p	MIMAT0000084	
329_	hsa-mir-27b	MI0000440	hsa-miR-27b-5p	MIMAT0004588	hsa-miR-27b-3p	MIMAT0000419	
330_	hsa-mir-28	MI0000086	hsa-miR-28-5p	MIMAT0000085	hsa-miR-28-3p	MIMAT0004502	
331_	hsa-mir-2861	MI0013006	na	na	hsa-miR-2861-3p	MIMAT0013802	
332_	hsa-mir-2909	MI0013083	hsa-miR-2909-5p	MIMAT0013863	na	na	
333_	hsa-mir-296	MI0000747	hsa-miR-296-5p	MIMAT0000690	hsa-miR-296-3p	MIMAT0004679	
334_	hsa-mir-297	MI0005775	hsa-miR-297-5p	MIMAT0004450	na	na	
335_	hsa-mir-298	MI0005523	hsa-miR-298-5p	MIMAT0004901	na	na	
336_	hsa-mir-299	MI0000744	hsa-miR-299-5p	MIMAT0002890	hsa-miR-299-3p	MIMAT0000687	
337_	hsa-mir-29a	MI0000087	hsa-miR-29a-5p	MIMAT0004503	hsa-miR-29a-3p	MIMAT0000086	
338_	hsa-mir-29b-1	MI0000105	hsa-miR-29b-1-5p	MIMAT0004514	hsa-miR-29b-3p	MIMAT0000100	
339_	hsa-mir-29b-2	MI0000107	hsa-miR-29b-2-5p	MIMAT0004515	hsa-miR-29b-3p	MIMAT0000100	
340_	hsa-mir-29c	MI0000735	hsa-miR-29c-5p	MIMAT0004673	hsa-miR-29c-3p	MIMAT0000681	
341_	hsa-mir-300	MI0005525	na	na	hsa-miR-300-3p	MIMAT0004903	
342_	hsa-mir-301a	MI0000745	hsa-miR-301a-5p	MIMAT0022696	hsa-miR-301a-3p	MIMAT0000688	
343_	hsa-mir-301b	MI0005568	na	na	hsa-miR-301b-3p	MIMAT0004958	
344_	hsa-mir-302a	MI0000738	hsa-miR-302a-5p	MIMAT0000683	hsa-miR-302a-3p	MIMAT0000684	
345_	hsa-mir-302b	MI0000772	hsa-miR-302b-5p	MIMAT0000714	hsa-miR-302b-3p	MIMAT0000715	
346_	hsa-mir-302c	MI0000773	hsa-miR-302c-5p	MIMAT0000716	hsa-miR-302c-3p	MIMAT0000717	
347_	hsa-mir-302d	MI0000774	hsa-miR-302d-5p	MIMAT0004685	hsa-miR-302d-3p	MIMAT0000718	
348_	hsa-mir-302e	MI0006417	hsa-miR-302e-5p	MIMAT0005931	na	na	
349_	hsa-mir-302f	MI0006418	na	na	hsa-miR-302f-3p	MIMAT0005932	
350_	hsa-mir-3064	MI0017375	hsa-miR-3064-5p	MIMAT0019864	hsa-miR-3064-3p	MIMAT0019865	
351_	hsa-mir-3065	MI0014228	hsa-miR-3065-5p	MIMAT0015066	hsa-miR-3065-3p	MIMAT0015378	
352_	hsa-mir-3074	MI0014181	hsa-miR-3074-5p	MIMAT0019208	hsa-miR-3074-3p	MIMAT0015027	
353_	hsa-mir-30a	MI0000088	hsa-miR-30a-5p	MIMAT0000087	hsa-miR-30a-3p	MIMAT0000088	
354_	hsa-mir-30b	MI0000441	hsa-miR-30b-5p	MIMAT0000420	hsa-miR-30b-3p	MIMAT0004589	
355_	hsa-mir-30c-1	MI0000736	hsa-miR-30c-5p	MIMAT0000244	hsa-miR-30c-1-3p	MIMAT0004674	
356_	hsa-mir-30c-2	MI0000254	hsa-miR-30c-5p	MIMAT0000244	hsa-miR-30c-2-3p	MIMAT0004550	
357_	hsa-mir-30d	MI0000255	hsa-miR-30d-5p	MIMAT0000245	hsa-miR-30d-3p	MIMAT0004551	
358_	hsa-mir-30e	MI0000749	hsa-miR-30e-5p	MIMAT0000692	hsa-miR-30e-3p	MIMAT0000693	
359_	hsa-mir-31	MI0000089	hsa-miR-31-5p	MIMAT0000089	hsa-miR-31-3p	MIMAT0004504	
360_	hsa-mir-3115	MI0014127	hsa-miR-3115-5p	MIMAT0014977	na	na	
361_	hsa-mir-3116-1	MI0014128	na	na	hsa-miR-3116-3p	MIMAT0014978	
362_	hsa-mir-3116-2	MI0014129	na	na	hsa-miR-3116-3p	MIMAT0014978	
363_	hsa-mir-3117	MI0014130	hsa-miR-3117-5p	MIMAT0019197	hsa-miR-3117-3p	MIMAT0014979	
364_	hsa-mir-3118-1	MI0014131	na	na	hsa-miR-3118-3p	MIMAT0014980	
365_	hsa-mir-3118-2	MI0014132	na	na	hsa-miR-3118-3p	MIMAT0014980	
366_	hsa-mir-3118-3	MI0014133	na	na	hsa-miR-3118-3p	MIMAT0014980	
367_	hsa-mir-3118-4	MI0014207	na	na	hsa-miR-3118-3p	MIMAT0014980	
368_	hsa-mir-3118-5	MI0014243	na	na	hsa-miR-3118-3p	MIMAT0014980	
369_	hsa-mir-3118-6	MI0015981	na	na	hsa-miR-3118-3p	MIMAT0014980	
370_	hsa-mir-3119-1	MI0014134	hsa-miR-3119-5p	MIMAT0014981	na	na	
371_	hsa-mir-3119-2	MI0014135	hsa-miR-3119-5p	MIMAT0014981	na	na	
372_	hsa-mir-3120	MI0014136	hsa-miR-3120-5p	MIMAT0019198	hsa-miR-3120-3p	MIMAT0014982	
373_	hsa-mir-3121	MI0014137	hsa-miR-3121-5p	MIMAT0019199	hsa-miR-3121-3p	MIMAT0014983	
374_	hsa-mir-3122	MI0014138	hsa-miR-3122-5p	MIMAT0014984	na	na	
375_	hsa-mir-3123	MI0014139	na	na	hsa-miR-3123-3p	MIMAT0014985	
376_	hsa-mir-3124	MI0014140	hsa-miR-3124-5p	MIMAT0014986	hsa-miR-3124-3p	MIMAT0019200	
377_	hsa-mir-3125	MI0014142	hsa-miR-3125-5p	MIMAT0014988	na	na	
378_	hsa-mir-3126	MI0014143	hsa-miR-3126-5p	MIMAT0014989	hsa-miR-3126-3p	MIMAT0015377	
379_	hsa-mir-3127	MI0014144	hsa-miR-3127-5p	MIMAT0014990	hsa-miR-3127-3p	MIMAT0019201	
380_	hsa-mir-3128	MI0014145	hsa-miR-3128-5p	MIMAT0014991	na	na	
381_	hsa-mir-3129	MI0014146	hsa-miR-3129-5p	MIMAT0014992	hsa-miR-3129-3p	MIMAT0019202	
382_	hsa-mir-3130-1	MI0014147	hsa-miR-3130-5p	MIMAT0014995	hsa-miR-3130-3p	MIMAT0014994	
383_	hsa-mir-3130-2	MI0014148	hsa-miR-3130-5p	MIMAT0014995	hsa-miR-3130-3p	MIMAT0014994	
384_	hsa-mir-3131	MI0014151	hsa-miR-3131-5p	MIMAT0014996	na	na	
385_	hsa-mir-3132	MI0014152	hsa-miR-3132-5p	MIMAT0014997	na	na	
386_	hsa-mir-3133	MI0014153	hsa-miR-3133-5p	MIMAT0014998	na	na	
387_	hsa-mir-3134	MI0014155	na	na	hsa-miR-3134-3p	MIMAT0015000	
388_	hsa-mir-3135a	MI0014156	hsa-miR-3135a-5p	MIMAT0015001	na	na	
389_	hsa-mir-3135b	MI0016809	hsa-miR-3135b-5p	MIMAT0018985	na	na	
390_	hsa-mir-3136	MI0014158	hsa-miR-3136-5p	MIMAT0015003	hsa-miR-3136-3p	MIMAT0019203	
391_	hsa-mir-3137	MI0014160	hsa-miR-3137-5p	MIMAT0015005	na	na	
392_	hsa-mir-3138	MI0014161	na	na	hsa-miR-3138-3p	MIMAT0015006	
393_	hsa-mir-3139	MI0014162	hsa-miR-3139-5p	MIMAT0015007	na	na	
394_	hsa-mir-3140	MI0014163	hsa-miR-3140-5p	MIMAT0019204	hsa-miR-3140-3p	MIMAT0015008	
395_	hsa-mir-3141	MI0014165	hsa-miR-3141-5p	MIMAT0015010	na	na	
396_	hsa-mir-3142	MI0014166	hsa-miR-3142-5p	MIMAT0015011	na	na	
397_	hsa-mir-3143	MI0014167	hsa-miR-3143-5p	MIMAT0015012	na	na	
398_	hsa-mir-3144	MI0014169	hsa-miR-3144-5p	MIMAT0015014	hsa-miR-3144-3p	MIMAT0015015	
399_	hsa-mir-3145	MI0014170	hsa-miR-3145-5p	MIMAT0019205	hsa-miR-3145-3p	MIMAT0015016	
400_	hsa-mir-3146	MI0014172	na	na	hsa-miR-3146-3p	MIMAT0015018	
401_	hsa-mir-3147	MI0014173	hsa-miR-3147-5p	MIMAT0015019	na	na	
402_	hsa-mir-3148	MI0014175	hsa-miR-3148-5p	MIMAT0015021	na	na	
403_	hsa-mir-3149	MI0014176	na	na	hsa-miR-3149-3p	MIMAT0015022	
404_	hsa-mir-3150a	MI0014177	hsa-miR-3150a-5p	MIMAT0019206	hsa-miR-3150a-3p	MIMAT0015023	
405_	hsa-mir-3150b	MI0016426	hsa-miR-3150b-5p	MIMAT0019226	hsa-miR-3150b-3p	MIMAT0018194	
406_	hsa-mir-3151	MI0014178	hsa-miR-3151-5p	MIMAT0015024	hsa-miR-3151-3p	MIMAT0027026	
407_	hsa-mir-3152	MI0014179	hsa-miR-3152-5p	MIMAT0019207	hsa-miR-3152-3p	MIMAT0015025	
408_	hsa-mir-3153	MI0014180	na	na	hsa-miR-3153-3p	MIMAT0015026	
409_	hsa-mir-3154	MI0014182	na	na	hsa-miR-3154-3p	MIMAT0015028	
410_	hsa-mir-3155a	MI0014183	na	na	hsa-miR-3155a-3p	MIMAT0015029	
411_	hsa-mir-3155b	MI0016839	na	na	hsa-miR-3155b-3p	MIMAT0019012	
412_	hsa-mir-3156-1	MI0014184	hsa-miR-3156-5p	MIMAT0015030	hsa-miR-3156-3p	MIMAT0019209	
413_	hsa-mir-3156-2	MI0014230	hsa-miR-3156-5p	MIMAT0015030	hsa-miR-3156-3p	MIMAT0019209	
414_	hsa-mir-3156-3	MI0014242	hsa-miR-3156-5p	MIMAT0015030	na	na	
415_	hsa-mir-3157	MI0014185	hsa-miR-3157-5p	MIMAT0015031	hsa-miR-3157-3p	MIMAT0019210	
416_	hsa-mir-3158-1	MI0014186	hsa-miR-3158-5p	MIMAT0019211	hsa-miR-3158-3p	MIMAT0015032	
417_	hsa-mir-3158-2	MI0014187	hsa-miR-3158-5p	MIMAT0019211	hsa-miR-3158-3p	MIMAT0015032	
418_	hsa-mir-3159	MI0014188	hsa-miR-3159-5p	MIMAT0015033	na	na	
419_	hsa-mir-3160-1	MI0014189	hsa-miR-3160-5p	MIMAT0019212	hsa-miR-3160-3p	MIMAT0015034	
420_	hsa-mir-3160-2	MI0014190	hsa-miR-3160-5p	MIMAT0019212	hsa-miR-3160-3p	MIMAT0015034	
421_	hsa-mir-3161	MI0014191	hsa-miR-3161-5p	MIMAT0015035	na	na	
422_	hsa-mir-3162	MI0014192	hsa-miR-3162-5p	MIMAT0015036	hsa-miR-3162-3p	MIMAT0019213	
423_	hsa-mir-3163	MI0014193	hsa-miR-3163-5p	MIMAT0015037	na	na	
424_	hsa-mir-3164	MI0014194	hsa-miR-3164-5p	MIMAT0015038	na	na	
425_	hsa-mir-3165	MI0014195	hsa-miR-3165-5p	MIMAT0015039	na	na	
426_	hsa-mir-3166	MI0014196	na	na	hsa-miR-3166-3p	MIMAT0015040	
427_	hsa-mir-3167	MI0014198	na	na	hsa-miR-3167-3p	MIMAT0015042	
428_	hsa-mir-3168	MI0014199	hsa-miR-3168-5p	MIMAT0015043	na	na	
429_	hsa-mir-3169	MI0014200	hsa-miR-3169-5p	MIMAT0015044	na	na	
430_	hsa-mir-3170	MI0014201	hsa-miR-3170-5p	MIMAT0015045	na	na	
431_	hsa-mir-3171	MI0014202	hsa-miR-3171-5p	MIMAT0015046	na	na	
432_	hsa-mir-3173	MI0014204	hsa-miR-3173-5p	MIMAT0019214	hsa-miR-3173-3p	MIMAT0015048	
433_	hsa-mir-3174	MI0014208	hsa-miR-3174-5p	MIMAT0015051	na	na	
434_	hsa-mir-3175	MI0014209	hsa-miR-3175-5p	MIMAT0015052	na	na	
435_	hsa-mir-3176	MI0014210	na	na	hsa-miR-3176-3p	MIMAT0015053	
436_	hsa-mir-3177	MI0014211	hsa-miR-3177-5p	MIMAT0019215	hsa-miR-3177-3p	MIMAT0015054	
437_	hsa-mir-3178	MI0014212	hsa-miR-3178-5p	MIMAT0015055	na	na	
438_	hsa-mir-3179-1	MI0014213	na	na	hsa-miR-3179-3p	MIMAT0015056	
439_	hsa-mir-3179-2	MI0014216	na	na	hsa-miR-3179-3p	MIMAT0015056	
440_	hsa-mir-3179-3	MI0014221	na	na	hsa-miR-3179-3p	MIMAT0015056	
441_	hsa-mir-3180-1	MI0014214	hsa-miR-3180-5p	MIMAT0015057	hsa-miR-3180-3p	MIMAT0015058	
442_	hsa-mir-3180-2	MI0014215	hsa-miR-3180-5p	MIMAT0015057	hsa-miR-3180-3p	MIMAT0015058	
443_	hsa-mir-3180-3	MI0014217	hsa-miR-3180-5p	MIMAT0015057	hsa-miR-3180-3p	MIMAT0015058	
444_	hsa-mir-3180-4	MI0016408	hsa-miR-3180-5p	MIMAT0018178	hsa-miR-3180-3p	MIMAT0015058	
445_	hsa-mir-3180-5	MI0016409	hsa-miR-3180-5p	MIMAT0018178	hsa-miR-3180-3p	MIMAT0015058	
446_	hsa-mir-3181	MI0014223	hsa-miR-3181-5p	MIMAT0015061	na	na	
447_	hsa-mir-3182	MI0014224	hsa-miR-3182-5p	MIMAT0015062	na	na	
448_	hsa-mir-3183	MI0014225	hsa-miR-3183-5p	MIMAT0015063	na	na	
449_	hsa-mir-3184	MI0014226	hsa-miR-3184-5p	MIMAT0015064	hsa-miR-3184-3p	MIMAT0022731	
450_	hsa-mir-3185	MI0014227	hsa-miR-3185-5p	MIMAT0015065	na	na	
451_	hsa-mir-3186	MI0014229	hsa-miR-3186-5p	MIMAT0015067	hsa-miR-3186-3p	MIMAT0015068	
452_	hsa-mir-3187	MI0014231	hsa-miR-3187-5p	MIMAT0019216	hsa-miR-3187-3p	MIMAT0015069	
453_	hsa-mir-3188	MI0014232	na	na	hsa-miR-3188-3p	MIMAT0015070	
454_	hsa-mir-3189	MI0014233	hsa-miR-3189-5p	MIMAT0019217	hsa-miR-3189-3p	MIMAT0015071	
455_	hsa-mir-3190	MI0014235	hsa-miR-3190-5p	MIMAT0015073	hsa-miR-3190-3p	MIMAT0022839	
456_	hsa-mir-3191	MI0014236	hsa-miR-3191-5p	MIMAT0022732	hsa-miR-3191-3p	MIMAT0015075	
457_	hsa-mir-3192	MI0014237	hsa-miR-3192-5p	MIMAT0015076	hsa-miR-3192-3p	MIMAT0027027	
458_	hsa-mir-3193	MI0014238	hsa-miR-3193-5p	MIMAT0015077	na	na	
459_	hsa-mir-3194	MI0014239	hsa-miR-3194-5p	MIMAT0015078	hsa-miR-3194-3p	MIMAT0019218	
460_	hsa-mir-3195	MI0014240	hsa-miR-3195-5p	MIMAT0015079	na	na	
461_	hsa-mir-3196	MI0014241	hsa-miR-3196-5p	MIMAT0015080	na	na	
462_	hsa-mir-3197	MI0014245	hsa-miR-3197-5p	MIMAT0015082	na	na	
463_	hsa-mir-3198-1	MI0014246	na	na	hsa-miR-3198-3p	MIMAT0015083	
464_	hsa-mir-3198-2	MI0017335	na	na	hsa-miR-3198-3p	MIMAT0015083	
465_	hsa-mir-3199-1	MI0014247	hsa-miR-3199-5p	MIMAT0015084	na	na	
466_	hsa-mir-3199-2	MI0014248	hsa-miR-3199-5p	MIMAT0015084	na	na	
467_	hsa-mir-32	MI0000090	hsa-miR-32-5p	MIMAT0000090	hsa-miR-32-3p	MIMAT0004505	
468_	hsa-mir-3200	MI0014249	hsa-miR-3200-5p	MIMAT0017392	hsa-miR-3200-3p	MIMAT0015085	
469_	hsa-mir-3201	MI0014250	hsa-miR-3201-5p	MIMAT0015086	na	na	
470_	hsa-mir-3202-1	MI0014252	hsa-miR-3202-5p	MIMAT0015089	na	na	
471_	hsa-mir-3202-2	MI0014253	hsa-miR-3202-5p	MIMAT0015089	na	na	
472_	hsa-mir-320a	MI0000542	na	na	hsa-miR-320a-3p	MIMAT0000510	
473_	hsa-mir-320b-1	MI0003776	na	na	hsa-miR-320b-3p	MIMAT0005792	
474_	hsa-mir-320b-2	MI0003839	na	na	hsa-miR-320b-3p	MIMAT0005792	
475_	hsa-mir-320c-1	MI0003778	na	na	hsa-miR-320c-3p	MIMAT0005793	
476_	hsa-mir-320c-2	MI0008191	na	na	hsa-miR-320c-3p	MIMAT0005793	
477_	hsa-mir-320d-1	MI0008190	na	na	hsa-miR-320d-3p	MIMAT0006764	
478_	hsa-mir-320d-2	MI0008192	na	na	hsa-miR-320d-3p	MIMAT0006764	
479_	hsa-mir-320e	MI0014234	na	na	hsa-miR-320e-3p	MIMAT0015072	
480_	hsa-mir-323a	MI0000807	hsa-miR-323a-5p	MIMAT0004696	hsa-miR-323a-3p	MIMAT0000755	
481_	hsa-mir-323b	MI0014206	hsa-miR-323b-5p	MIMAT0001630	hsa-miR-323b-3p	MIMAT0015050	
482_	hsa-mir-324	MI0000813	hsa-miR-324-5p	MIMAT0000761	hsa-miR-324-3p	MIMAT0000762	
483_	hsa-mir-325	MI0000824	hsa-miR-325-5p	MIMAT0000771	na	na	
484_	hsa-mir-326	MI0000808	na	na	hsa-miR-326-3p	MIMAT0000756	
485_	hsa-mir-328	MI0000804	hsa-miR-328-5p	MIMAT0026486	hsa-miR-328-3p	MIMAT0000752	
486_	hsa-mir-329-1	MI0001725	hsa-miR-329-5p	MIMAT0026555	hsa-miR-329-3p	MIMAT0001629	
487_	hsa-mir-329-2	MI0001726	hsa-miR-329-5p	MIMAT0026555	hsa-miR-329-3p	MIMAT0001629	
488_	hsa-mir-330	MI0000803	hsa-miR-330-5p	MIMAT0004693	hsa-miR-330-3p	MIMAT0000751	
489_	hsa-mir-331	MI0000812	hsa-miR-331-5p	MIMAT0004700	hsa-miR-331-3p	MIMAT0000760	
490_	hsa-mir-335	MI0000816	hsa-miR-335-5p	MIMAT0000765	hsa-miR-335-3p	MIMAT0004703	
491_	hsa-mir-337	MI0000806	hsa-miR-337-5p	MIMAT0004695	hsa-miR-337-3p	MIMAT0000754	
492_	hsa-mir-338	MI0000814	hsa-miR-338-5p	MIMAT0004701	hsa-miR-338-3p	MIMAT0000763	
493_	hsa-mir-339	MI0000815	hsa-miR-339-5p	MIMAT0000764	hsa-miR-339-3p	MIMAT0004702	
494_	hsa-mir-33a	MI0000091	hsa-miR-33a-5p	MIMAT0000091	hsa-miR-33a-3p	MIMAT0004506	
495_	hsa-mir-33b	MI0003646	hsa-miR-33b-5p	MIMAT0003301	hsa-miR-33b-3p	MIMAT0004811	
496_	hsa-mir-340	MI0000802	hsa-miR-340-5p	MIMAT0004692	hsa-miR-340-3p	MIMAT0000750	
